treat,author,datetime_,box,ring_num,phase,fat,mass,mass_worms,worms_num,mass_cat,sperm,ringing_end,partner_present,captivity_pk,remarks
s,mb,2013-06-20 18:16,2,257188558,start,1,22.8,0,0,0,Ms,NA,N,1,"mass with tag; 30min walk nest s502, partner absent"
s,mb,2013-06-21 06:16,2,257188558,middle,0,20.1,7.3,100,0,N,NA,NA,2,mass with tag
s,mb,2013-06-21 18:06,2,257188558,end,0,19.9,0,0,0,M,NA,NA,3,NA
s,lv,2013-06-21 18:41,2,257188558,released,NA,NA,NA,NA,NA,N,NA,NA,5,"gps 1, wp 52, sesa around flying alarming"
s,lv,2013-06-20 22:29,1,257188571,start,3,24.7,0,0,0,Ms,NA,N,6,"mass with tag, s702, 30min walk, partner absent"
s,mb,2013-06-21 10:54,1,257188571,middle,0,21,7.6,100,0,N,NA,NA,7,NA
s,mb,2013-06-21 22:13,1,257188571,end,3,22,0.2,3,0,Ms,NA,NA,8,NA
s,lv,2013-06-21 22:52,1,257188571,released,NA,NA,NA,NA,NA,N,NA,NA,9,"gps1 wp53; before releasing bird a sesa came flying from direction nest + was chased by the neighbours, no reaction of bird in bag; stood with my back towards chasing birds, released bird in bag, flew out hand, landed a few meters away, looked confused, s"
s,lv,2013-06-21 09:32,3,257188564,start,3,26.9,0,0,0,Ms,2013-06-21 09:55,Y,10,"mass with tag, s509, brought in with atv, partner present"
s,lv,2013-06-21 21:32,3,257188564,middle,1,22.8,15.4,200,0,N,NA,NA,11,mass with taq
s,lv,2013-06-22 08:56,3,257188564,end,3,25.1,2.1,27,0,N,NA,NA,12,"mass with tag, sperm taken, but sample thrown away"
s,ms,2013-06-22 09:32,3,257188564,released,NA,NA,NA,NA,NA,N,NA,NA,13,w 7/115
s,mb,2013-06-21 14:37,5,255174350,start,1,23.9,0,0,0,S,2013-06-21 14:58,N,14,"mass with tag, s711, 30 min walk, partner absent"
s,fh,2013-06-22 02:34,5,255174350,middle,1,20.2,15.2,200,0,N,NA,NA,15,"was jumping, completley quiet afterwards"
s,mb,2013-06-22 14:08,5,255174350,end,3,22.6,3,43,0,Ms,NA,NA,16,no antenna
s,ms,2013-06-22 14:37,5,255174350,released,NA,NA,NA,NA,NA,N,NA,NA,21,NA
s,lv,2013-06-22 10:11,4,257188570,start,3,27,0,0,0,Clf,NA,N,17,"mass with tag, s402, 30min walk"
s,lv,2013-06-22 22:18,4,257188570,middle,0,21.2,13.9,200,0,N,NA,NA,18,"bird very weak when taken out box, died shortly after, fed it 6 worms"
s,lv,2013-06-22 13:52,6,257188566,start,0,26.8,NA,NA,0,Ms,2013-06-22 14:01,other_bird,22,"mass with tag, s510, 15min walk"
s,mb,2013-06-23 01:52,6,257188566,middle,0,23,NA,NA,0,N,NA,NA,26,bird found dead in  box
s,mb,2013-06-22 15:12,7,255174353,start,0,27.4,0,0,0,Ms,2013-06-22 15:21,N,29,"s516, 35 min walk, partner absent"
s,mb,2013-06-22 22:45,7,255174353,middle,NA,24.5,13.9,194,0,N,NA,NA,30,NA
s,lv,2013-06-23 03:05,7,255174353,middle,NA,NA,NA,100,0,N,NA,NA,37,NA
s,lv,2013-06-23 14:41,7,255174353,end,3,25.1,1.5,11,0,N,NA,NA,31,NA
s,ms,2013-06-23 15:14,7,255174353,released,NA,NA,NA,NA,NA,N,NA,NA,32,NA
s,lv,2013-06-23 01:22,8,257188572,start,0,29,0,0,0,Clf,2013-06-23 01:30,N,33,"s404, 35 min walk, mass with tag"
s,lv,2013-06-23 03:05,8,257188572,middle,NA,NA,NA,50,0,N,NA,NA,38,"bird was very skinny, give it some meelworms before end shift"
s,mb,2013-06-23 07:40,8,257188572,middle,0,26.2,24.1,300,0,N,NA,NA,34,NA
s,lv,2013-06-24 01:00,8,257188572,end,3,28.1,89,106,0,M,NA,NA,36,NA
s,lv,2013-06-24 01:46,8,257188572,released,NA,NA,NA,NA,NA,N,NA,NA,35,"gps1, wp 46, released in direction of nest, flew off perpendicular on direction nest, landed after 50m (few min observation) "
n,mb,2013-06-23 11:25,9,255174356,start,0,27.4,25.8,400,0,N,2013-06-23 11:36,other_bird,39,"s624, 5 min walk"
n,lv,2013-06-23 23:36,9,255174356,middle,3,26.5,NA,NA,0,N,NA,NA,40,NA
n,lv,2013-06-24 01:09,9,255174356,middle,3,26.7,NA,NA,0,N,NA,NA,47,NA
n,lv,2013-06-24 11:02,9,255174356,end,3,26.9,0.3,4,0,N,NA,NA,41,NA
n,lv,2013-06-24 11:23,9,255174356,released,NA,NA,NA,NA,NA,N,NA,NA,42,"gps1, wp 37. flew off,+/- 30m, landed, walked around, a bit forward, a bit backward, as trying to figure out where it was, looked confused. flew off again, landed 10-15m further in grass and disappeared. 4min observations"
n,lv,2013-06-23 18:21,10,255174349,start,0,26.1,33.8,366,0,N,2013-06-23 18:34,N,43,"s628, 5 min walk, 400 worms at start, but fabi later exchanged what was left 234 for new 200 worms  in at middle, so the full number is not 400, but less"
n,fh,2013-06-24 06:15,10,255174349,middle,1,25.7,NA,NA,0,N,NA,NA,44,NA
n,mb,2013-06-24 18:15,10,255174349,end,6,26.2,3.5,44,0,N,NA,NA,45,really fatty
n,mb,2013-06-24 18:21,10,255174349,released,NA,NA,NA,NA,NA,N,NA,NA,46,had a hard time to fly
n,mb,2013-06-24 05:06,11,255174359,start,0,25,15.5,400,0,N,2013-06-24 05:17,N,48,"s512, 30min walk"
n,mb,2013-06-24 06:18,11,255174359,middle,NA,NA,NA,-200,0,N,NA,NA,49,taken out because we were running out of the worms
n,mb,2013-06-24 17:27,11,255174359,middle,3,26.6,4.3,50,30,N,NA,NA,105,cat food added
n,mb,2013-06-25 04:46,11,255174359,end,3,24.8,0,5,22.5,N,NA,NA,50,NA
n,fh,2013-06-25 05:23,11,255174359,released,NA,NA,NA,NA,NA,N,NA,NA,51,NA
n,lv,2013-06-24 14:12,12,255174346,start,1,24.1,3.6,50,30,N,2013-06-24 14:27,other_bird,52,"s515, 30min walk, male"
n,lv,2013-06-25 02:14,12,255174346,middle,NA,22,8.2,100,0,N,NA,NA,53,cat food still there
n,mb,2013-06-25 05:45,12,255174346,middle,1,22.7,NA,NA,0,N,NA,NA,79,cat food and meal worms still present
n,mb,2013-06-25 10:33,12,255174346,middle,2,21.4,NA,50,-29.9,N,NA,NA,77,"only cat food left, therefore cat food taken out, 50 meal worms added"
n,mb,2013-06-25 14:07,12,255174346,end,3,22.1,NA,2,0.1,N,NA,NA,80,NA
n,lv,2013-06-25 14:07,12,255174346,end,3,NA,NA,NA,NA,N,NA,NA,78,NA
n,lv,2013-06-25 14:43,12,255174346,released,NA,NA,NA,NA,NA,N,NA,NA,54,"gps1, wp60. released direction of nest. flew off, away from nest, landed 5m away, looked confused. flew a few meters further, walked a bit back, walked a bit forward, preened a bit. Then started to preen longer and more torough, walked back as a normal se"
n,lv,2013-06-24 21:03,13,255174342,start,0,24.9,3.2,50,30,S,2013-06-24 21:10,N,56,"s712, 40min walk, male"
n,mb,2013-06-25 07:08,13,255174342,middle,1,21.2,15.5,200,-30,N,NA,NA,57,"cat food taken out, 40 meal worms were left and taken out"
n,mb,2013-06-25 07:08,13,255174342,middle,NA,NA,NA,-40,0,N,NA,NA,75,"cat food taken out, 40 meal worms were left and taken out"
n,mb,2013-06-25 17:00,13,255174342,middle,3,23.5,3.8,50,0,N,NA,NA,81,fat possibly 4
n,lv,2013-06-25 20:44,13,255174342,end,4,23.5,0.4,6,0,N,NA,NA,58,"no sperm sample, there came nothing out"
n,lv,2013-06-25 21:13,13,255174342,released,NA,NA,NA,NA,NA,N,2013-06-26 00:47,N,59,"gps1, wp61. flew off, very strong wind coming from direction of nest, so was blown away. landed 100m further. maybe difficulties to fly (stiff muscles)? a bit unusual flapping of wings? less then 1 min observation."
n,lv,2013-06-24 22:20,14,255174347,start,0,24.6,3.8,50,30,S,2013-06-24 22:32,N,60,"s406, 40min walk, male, S+M sample"
