"datetime_","nest","sex","bird_ID","type","distm"
2013-06-16 09:26:00,"s402","m",253178803,"gps",29.0769959837313
2013-06-18 00:05:00,"s402","m",253178803,"gps",37.9029569563605
2013-06-19 23:48:00,"s402","f",257188570,"gps",78.7186493325479
2013-06-20 22:50:00,"s402","f",257188570,"gps",26.6567852988411
2013-06-22 09:58:00,"s402","f",257188570,"gps",30.085069124384
2013-06-15 15:16:00,"s402","f",257188570,"estimated",2
2013-06-15 17:16:00,"s402","f",257188570,"estimated",15
2013-06-17 19:59:00,"s402","m",253178803,"estimated",6
2013-06-15 17:37:00,"s404","f",257188572,"gps",82.5384479902785
2013-06-16 10:30:00,"s404","m",253178801,"gps",64.2024404781795
2013-06-23 01:06:00,"s404","f",257188572,"gps",43.2328765932733
2013-06-15 19:37:00,"s404","f",257188572,"estimated",24
2013-06-16 11:40:00,"s406","f",255174558,"gps",44.5940624862037
2013-06-17 19:38:00,"s406","f",255174558,"gps",19.4842679821249
2013-06-19 09:43:00,"s406","f",255174558,"gps",9.1754248929671
2013-06-24 07:03:00,"s406","f",255174558,"gps",4.96951005600687
2013-06-24 21:59:00,"s406","m",255174347,"gps",10.8101645261228
2013-06-23 16:29:00,"s406","m",255174347,"estimated",1
2013-06-24 21:24:00,"s406","m",255174347,"estimated",3
2013-06-20 15:18:00,"s409","f",255174397,"gps",31.4545592477906
2013-06-21 11:56:00,"s409","m",255174343,"gps",17.8105757313719
2013-06-27 22:52:00,"s409","m",255174343,"gps",23.8061978521391
2013-06-28 21:39:00,"s409","m",255174343,"gps",24.2694234945782
2013-07-01 13:49:00,"s409","f",255174397,"gps",18.757614259551
2013-06-21 13:04:00,"s410","m",255174344,"gps",31.1609167339919
2013-06-26 05:28:00,"s410","f",255174366,"gps",17.7028941704652
2013-06-23 17:12:00,"s410","m",255174344,"estimated",2
2013-06-24 07:31:00,"s410","f",255174366,"estimated",1
2013-06-25 09:13:00,"s410","m",255174344,"estimated",11
2013-06-12 11:39:00,"s502","m",257188558,"gps",27.3494390694088
2013-06-15 13:39:00,"s502","f",255174392,"gps",13.7661574012253
2013-06-11 08:14:00,"s502","m",257188558,"estimated",0
2013-06-17 18:48:00,"s502","m",257188558,"estimated",0
2013-06-18 18:41:00,"s502","m",257188558,"estimated",8
2013-06-20 18:02:00,"s502","m",257188558,"estimated",2
2013-06-13 21:55:00,"s509","m",255174303,"gps",25.0589267576052
2013-06-16 13:39:00,"s509","f",257188564,"gps",49.1929195867832
2013-06-17 19:03:00,"s509","m",255174303,"gps",84.5662786448827
2013-06-21 09:30:00,"s509","f",257188564,"gps",22.1475488740529
2013-06-13 15:09:00,"s509","f",257188564,"estimated",0
2013-06-14 14:43:00,"s510","f",257188566,"gps",13.0427786019701
2013-06-15 12:42:00,"s510","f",257188566,"gps",90.656549196506
2013-06-15 19:17:00,"s510","f",257188566,"gps",8.83114969819147
2013-06-15 22:21:00,"s510","f",257188566,"gps",30.163695983235
2013-06-22 12:21:00,"s510","f",257188566,"gps",36.5195318129973
2013-06-20 21:27:00,"s510","m",255174329,"estimated",10
2013-06-20 15:41:00,"s510","m",255174329,"estimated",2
2013-06-22 13:32:00,"s510","f",257188566,"estimated",20
2013-06-16 11:31:00,"s512","m",257188446,"estimated",3
2013-06-17 20:56:00,"s512","f",255174359,"estimated",1
2013-06-19 23:52:00,"s512","f",255174359,"estimated",0
2013-06-23 10:42:00,"s514","f",255174396,"gps",15.0547339429188
2013-06-25 12:10:00,"s514","f",255174396,"gps",14.1546551222555
2013-06-18 17:57:00,"s514","f",255174396,"estimated",5
2013-06-18 16:21:00,"s515","f",255174399,"gps",17.2562680982966
2013-06-23 11:09:00,"s515","m",255174346,"gps",15.2650504128324
2013-06-24 14:04:00,"s515","m",255174346,"gps",12.3798340081912
2013-06-18 15:18:00,"s516","m",255174394,"gps",10.6273026301098
2013-06-20 23:13:00,"s516","m",255174394,"gps",5.64130802515871
2013-06-21 11:09:00,"s516","f",255174353,"gps",1.55355617632595
2013-06-22 15:00:00,"s516","f",255174353,"gps",16.7880755431792
2013-06-20 16:22:00,"s519","m",255174330,"estimated",15
2013-06-24 11:28:00,"s519","f",255174365,"estimated",1
2013-06-24 15:40:00,"s520","m",255174599,"gps",26.36760500559
2013-06-25 06:34:00,"s520","f",255174362,"gps",32.5483860034971
2013-06-21 15:31:00,"s520","m",255174599,"estimated",5
2013-06-28 20:12:00,"s524","m",257188552,"estimated",10
2013-07-02 23:44:00,"s526","f",255174892,"gps",22.0691897262433
2013-07-04 11:05:00,"s526","m",255174846,"gps",8.24148836513147
2013-07-05 04:28:00,"s526","f",255174892,"gps",39.1479042773288
2013-07-07 11:34:00,"s526","m",255174846,"gps",8.39006316800528
2013-06-29 10:33:00,"s527","f",255174816,"estimated",10
2013-07-03 11:01:00,"s527","f",255174816,"estimated",8
2013-07-02 18:22:00,"s527","m",255174847,"estimated",10
2013-07-06 12:22:00,"s527","f",255174816,"estimated",7
2013-06-16 22:46:00,"s622","m",257188506,"gps",25.4528630007157
2013-06-26 12:34:00,"s622","f",255174325,"gps",33.437021459875
2013-06-27 01:00:00,"s622","m",257188506,"gps",12.2788266353579
2013-06-25 20:39:00,"s622","m",257188506,"estimated",1
2013-06-19 09:01:00,"s625","f",255174340,"gps",10.5028137690279
2013-06-22 12:05:00,"s625","m",255174400,"gps",8.44771379785434
2013-06-23 10:06:00,"s625","f",255174340,"gps",9.86126922327581
2013-06-24 00:08:00,"s625","f",255174340,"gps",10.138398751402
2013-06-24 22:41:00,"s625","m",255174400,"gps",10.8770075407201
2013-06-23 10:31:00,"s628","m",255174349,"estimated",1
2013-06-20 15:11:00,"s629","f",255174328,"gps",24.6879363055114
2013-06-24 15:17:00,"s629","m",255174326,"gps",12.2505661637908
2013-06-24 15:27:00,"s629","m",255174326,"gps",19.1060535517186
2013-06-25 16:32:00,"s629","m",255174326,"gps",26.2314496419169
2013-06-19 09:37:00,"s629","m",255174326,"estimated",8
2013-06-24 13:50:00,"s629","m",255174326,"estimated",3
2013-06-15 19:37:00,"s702","m",257188571,"gps",9.38291811934624
2013-06-15 16:32:00,"s702","m",257188571,"gps",36.229675508678
2013-06-16 08:41:00,"s702","f",255174339,"gps",9.45348598415352
2013-06-17 23:55:00,"s702","f",255174339,"gps",10.7673060175922
2013-06-16 08:32:00,"s702","f",255174339,"estimated",1
2013-06-20 22:20:00,"s702","m",257188571,"estimated",10
2013-06-16 10:13:00,"s704","m",257188600,"gps",36.6963591649853
2013-06-23 11:57:00,"s704","m",257188600,"gps",15.2788487050739
2013-06-25 16:36:00,"s704","m",257188600,"gps",7.79830099843727
2013-06-17 20:49:00,"s704","m",257188600,"estimated",2
2013-06-24 04:32:00,"s704","f",255174358,"estimated",2
2013-06-20 17:27:00,"s711","m",255174557,"gps",11.2526543843496
2013-06-21 14:33:00,"s711","f",255174350,"estimated",5
2013-06-20 09:39:00,"s712","m",255174342,"gps",18.9398403134847
2013-06-23 10:36:00,"s712","f",255174395,"gps",13.349704185097
2013-06-24 20:53:00,"s712","m",255174342,"gps",17.3369147456789
2013-06-16 10:53:00,"s805","f",257188450,"gps",29.9483132496045
2013-06-17 20:43:00,"s805","f",257188450,"gps",9.85532280556988
2013-06-23 11:42:00,"s805","m",255174364,"gps",20.4250496986348
2013-06-24 07:21:00,"s805","m",255174364,"gps",4.26317436903198
2013-06-19 23:59:00,"s805","m",255174364,"estimated",6
2013-06-25 00:33:00,"s806","f",255174374,"gps",23.8618579642036
2013-06-25 21:43:00,"s806","f",255174374,"gps",9.63117154047533
2013-06-18 14:12:00,"s806","m",255174323,"estimated",3
2013-06-19 21:31:00,"s806","m",255174323,"estimated",1
2013-06-21 16:07:00,"s808","m",255174348,"gps",5.82578896495595
2013-06-24 06:54:00,"s808","f",255174363,"gps",2.01628256082745
2013-06-25 09:36:00,"s808","f",255174363,"estimated",5
