"year","datetime_","nest","sex","bird_ID","type","distm"
2012,2012-06-11 08:04:00,"s701","f","255174773","gps",16.8900695740256
2012,2012-06-11 09:07:00,"s803","f","255174524","gps",34.7326271207861
2012,2012-06-11 22:54:00,"s803","f","255174524","gps",21.4568006215968
2012,2012-06-12 16:21:00,"s202","f","255174536","gps",27.5699630781333
2012,2012-06-12 12:58:00,"s402","m","255174788","gps",13.9850451414213
2012,2012-06-13 17:56:00,"s103","m","255174766","gps",13.1934988831304
2012,2012-06-13 20:34:00,"s701","f","255174773","gps",17.9814461571612
2012,2012-06-14 09:20:00,"s502","f","255174778","gps",21.6921395503223
2012,2012-06-14 11:58:00,"s701","m","229194792","gps",17.5699823840633
2012,2012-06-14 12:34:00,"s202","m","255174763","gps",23.4237409560486
2012,2012-06-15 11:54:00,"s804","m","255174796","gps",25.0762395070312
2012,2012-06-16 11:30:00,"s810","f","229194784","gps",29.9777795870439
2012,2012-06-16 17:53:00,"s706","f","255174760","gps",27.7407771556626
2012,2012-06-16 12:55:00,"s1002","f","255174547","gps",21.8783604621718
2012,2012-06-16 17:18:00,"s110","m","255174309","gps",1166.21826909641
2012,2012-06-16 11:56:00,"s506","f","255174446","gps",9.90720258918654
2012,2012-06-16 16:50:00,"s1001","m","255174550","gps",6.93443072449661
2012,2012-06-18 00:41:00,"s704","m","255174463","gps",42.775816964399
2012,2012-06-17 15:07:00,"s1002","m","255174414","gps",37.4706969230215
2012,2012-06-17 17:16:00,"s706","f","255174760","gps",43.2554342376921
2012,2012-06-18 13:30:00,"s110","m","255174309","gps",5.42009507237707
2012,2012-06-18 14:09:00,"s706","f","255174760","gps",34.213345887479
2012,2012-06-18 18:55:00,"s508","f","229194745","gps",9.15844648225791
2012,2012-06-19 11:41:00,"s506","m","255174513","gps",25.7686961745269
2012,2012-06-19 10:25:00,"s811","m","255174751","gps",21.76817556042
2012,2012-06-13 13:12:00,"s603","m","255174770","gps",22.2297066703211
2012,2012-06-21 17:43:00,"s1003","f","255174745","gps",14.7920932996645
2012,2012-06-23 12:22:00,"s706","f","255174760","gps",44.8252893980335
2012,2012-06-23 16:56:00,"s609","m","229194761","gps",29.1098965582439
2012,2012-06-23 17:10:00,"s1003","m","255174744","gps",15.753077702617
2012,2012-06-24 10:15:00,"s509","m","255174740","gps",32.8347444541687
2012,2012-06-23 16:07:00,"s812","m","255174548","gps",25.5340747644422
2012,2012-06-24 11:14:00,"s609","m","229194761","gps",29.4942880558681
2012,2012-06-24 13:45:00,"s810","m","229194790","gps",28.488288244223
2012,2012-06-24 17:04:00,"s707","m","255174434","gps",58.90386612409
2012,2012-06-25 08:13:00,"s304","f","255174728","gps",27.0308772591383
2012,2012-06-26 09:20:00,"s704","f","255174790","gps",33.9231911742116
2012,2012-06-26 14:18:00,"s707","m","255174434","gps",38.7335596396778
2012,2012-06-26 14:25:00,"s1001","m","255174550","gps",46.0134223967433
2012,2012-06-26 14:24:00,"s310","f","255174536","gps",32.8411138556873
2012,2012-06-27 10:36:00,"s1001","m","255174550","gps",19.331126697704
2012,2012-06-27 09:26:00,"s313","m","255174563","gps",33.5880610784345
2012,2012-06-27 17:43:00,"s804","m","255174796","gps",27.1933315981173
2012,2012-06-27 18:12:00,"s405","m","255174752","gps",18.1650666276306
2012,2012-06-27 19:04:00,"s811","m","255174751","gps",20.5220262423215
2012,2012-06-29 10:17:00,"s704","f","255174790","gps",29.0241178605284
2012,2012-06-29 21:40:00,"s310","m","255174763","gps",18.4112188388029
2012,2012-06-30 11:06:00,"s804","f","255174761","gps",19.3301514344001
2012,2012-07-01 13:00:00,"s804","f","255174761","gps",263.602117580655
2012,2012-07-01 16:39:00,"s717","f","255174718","gps",202.792802342544
2012,2012-07-01 17:07:00,"s514","m","255174305","gps",15.3120023678583
2012,2012-07-01 12:09:00,"s322","m","255174539","gps",45.2821739220281
2012,2012-07-01 15:55:00,"s810","m","229194790","gps",25.2034371138657
2012,2012-07-02 16:59:00,"s809","f","229194791","gps",21.3871018160224
2012,2012-07-03 10:46:00,"s110","f","255174545","gps",62.8152939068897
2012,2012-07-03 19:15:00,"s718","m","255174707","gps",22.602443401347
2012,2012-07-03 17:04:00,"s1003","m","255174744","gps",32.7501863042766
2012,2012-07-04 14:03:00,"s1003","m","255174744","gps",15.5176063871065
2012,2012-07-04 10:35:00,"s1003","m","255174744","gps",26.7203518309833
