"nest","bird_ID","datetime_","recapture"
"s402",253178803,"2013-06-16 09:41:00",0
"s404",253178801,"2013-06-16 10:39:00",0
"s409",255174343,"2013-06-21 12:21:00",0
"s510",255174329,"2013-06-20 15:51:00",0
"s515",255174399,"2013-06-18 16:33:00",0
"s516",255174394,"2013-06-18 15:36:00",0
"s519",255174330,"2013-06-20 16:41:00",0
"s526",255174846,"2013-07-02 15:01:00",0
"s527",255174816,"2013-06-29 10:43:00",0
"s622",255174325,"2013-06-18 18:13:00",0
"s625",255174340,"2013-06-19 09:18:00",0
"s629",255174328,"2013-06-20 15:19:00",0
"s702",255174339,"2013-06-16 08:52:00",0
"s704",255174358,"2013-06-24 04:42:00",0
"s711",255174557,"2013-06-17 16:59:00",1
"s712",255174395,"2013-06-18 17:27:00",0
"s805",257188450,"2013-06-16 11:04:00",1
"s806",255174323,"2013-06-18 14:43:00",0
"s806",255174323,"2013-06-25 01:08:00",1
"s808",255174348,"2013-06-21 16:18:00",0
NA,255174599,"2013-06-02 14:25:00",0
NA,255174392,"2013-06-08 15:24:00",0
