"year","nest","inc_start","method"
2011,"a301","2011-06-27 05:00:00","laying"
2011,"l401","2011-06-26 05:00:00","laying"
2011,"s501","2011-06-04 01:40:00","laying"
2011,"s507","2011-06-14 05:00:00","laying"
2011,"s802","2011-06-19 05:00:00","laying"
2011,"s803","2011-06-21 15:30:00","laying"
2011,"s805","2011-06-19 05:00:00","laying"
2011,"b301","2011-06-11 17:59:28","flotation"
2011,"b302","2011-06-14 23:56:51","flotation"
2011,"b305","2011-06-28 19:11:00","flotation"
2011,"b501","2011-06-30 21:11:24","flotation"
2011,"b502","2011-06-28 10:48:00","flotation"
2011,"b601","2011-06-22 09:53:09","flotation"
2011,"b701","2011-06-17 23:17:37","flotation"
2011,"d301","2011-06-10 00:38:32","flotation"
2011,"d302","2011-06-18 03:58:35","flotation"
2011,"d401","2011-06-16 05:17:32","flotation"
2011,"d801","2011-06-09 17:00:10","flotation"
2011,"s101","2011-06-01 12:27:05","flotation"
2011,"s201","2011-05-31 03:18:56","flotation"
2011,"s203","2011-06-02 09:18:12","flotation"
2011,"s204","2011-06-02 03:37:28","flotation"
2011,"s205","2011-06-04 17:09:54","flotation"
2011,"s206","2011-06-09 01:59:38","flotation"
2011,"s209","2011-06-22 03:55:32","flotation"
2011,"s301","2011-06-03 11:12:01","flotation"
2011,"s302","2011-06-07 10:45:58","flotation"
2011,"s303","2011-06-06 05:41:09","flotation"
2011,"s304","2011-06-09 22:46:38","flotation"
2011,"s305","2011-06-04 21:14:44","flotation"
2011,"s306","2011-06-05 21:25:27","flotation"
2011,"s307","2011-06-09 10:41:58","flotation"
2011,"s308","2011-06-02 10:50:30","flotation"
2011,"s309","2011-06-17 13:42:18","flotation"
2011,"s310","2011-06-04 12:09:00","flotation"
2011,"s311","2011-06-04 10:51:00","flotation"
2011,"s312","2011-06-16 11:36:11","flotation"
2011,"s313","2011-06-05 18:11:52","flotation"
2011,"s314","2011-06-17 01:56:38","flotation"
2011,"s315","2011-06-07 00:43:12","flotation"
2011,"s316","2011-06-07 18:24:12","flotation"
2011,"s317","2011-06-09 05:19:30","flotation"
2011,"s318","2011-06-14 13:12:21","flotation"
2011,"s319","2011-06-17 05:59:15","flotation"
2011,"s320","2011-06-19 01:40:28","flotation"
2011,"s321","2011-06-12 21:06:41","flotation"
2011,"s322","2011-06-14 21:56:41","flotation"
2011,"s323","2011-06-15 00:49:41","flotation"
2011,"s324","2011-06-13 03:02:26","flotation"
2011,"s325","2011-06-12 13:09:24","flotation"
2011,"s326","2011-06-16 21:08:40","flotation"
2011,"s327","2011-06-17 13:40:15","flotation"
2011,"s328","2011-06-13 22:53:36","flotation"
2011,"s401","2011-06-12 10:54:24","flotation"
2011,"s402","2011-06-09 17:54:00","flotation"
2011,"s403","2011-06-13 15:52:02","flotation"
2011,"s404","2011-06-16 08:03:50","flotation"
2011,"s405","2011-06-17 17:24:41","flotation"
