type,nest,IDfemale,IDmale,taken,taken_ID,ID_taken,ID_treated,back,use_t,use_b,comments,state,days
exp,s402,257188570,253178803,f,257188570,257188570,253178803,n,y,n,died,,1
exp,s404,257188572,253178801,f,257188572,257188572,253178801,y,y,y,,,
exp,s406,255174558,255174347,m,255174347,255174347,255174558,y,y,y,,,
exp,s409,255174397,255174343,f,255174397,255174397,255174343,n,y,y,,,4
exp,s410,255174366,255174344,f,255174366,255174366,255174344,n,n,n,predation during before treatment bout,,
exp,s502,255174392,257188558,m,257188558,257188558,255174392,y,y,y,,,
exp,s509,257188564,255174303,f,257188564,257188564,255174303,y,y,y,,,
exp,s510,257188566,255174329,f,257188566,257188566,255174329,n,y,n,died,,10
exp,s512,255174359,257188446,f,255174359,255174359,257188446,y,y,y,,,
exp,s514,255174396,257188551,f,255174396,255174396,257188551,y,n,y,nest predated during treatement,p,
exp,s515,255174399,255174346,m,255174346,255174346,255174399,y,y,y,,,
exp,s516,255174353,255174394,f,255174353,255174353,255174394,n,y,y,,,10
exp,s519,255174365,255174330,f,255174365,255174365,255174330,y,y,y,,p,
exp,s520,255174362,255174599,f,255174362,255174362,255174599,y,y,y,alone at the end of incubation,,4
exp,s524,253178816,257188552,f,253178816,253178816,257188552,y,n,y,wrong bird taken to the captivity,,
exp,s526,255174892,255174846,f,255174892,255174892,255174846,n,y,y,,d,0.5
exp,s527,255174816,255174847,m,255174847,255174847,255174816,y,y,y,incubates nearly nonstop for over 24h,,
exp,s622,255174325,257188506,m,257188506,257188506,255174325,y,y,y,,,
exp,s624,255174356,255174322,f,255174356,255174356,255174322,n,n,n,male dissapears in before treatment bout,,
exp,s625,255174340,255174400,m,255174400,255174400,255174340,y,y,y,,,
exp,s628,229194794,255174349,m,255174349,255174349,229194794,y,y,y,,,
exp,s629,255174328,255174326,m,255174326,255174326,255174328,y,y,y,,hd,
exp,s702,255174339,257188571,m,257188571,257188571,255174339,y,y,y,,,
exp,s704,255174358,257188600,m,257188600,257188600,255174358,y,y,y,,,
exp,s711,255174350,255174557,f,255174350,255174350,255174557,n,y,y,,,3.5
exp,s712,255174395,255174342,m,255174342,255174342,255174395,y,y,y,,,
exp,s805,257188450,255174364,m,255174364,255174364,257188450,y,y,y,,,
exp,s806,255174374,255174323,f,255174374,255174374,255174323,y,y,n,"bird likely returned, but we cannot be sure as there are no MSR data",,
exp,s808,255174363,255174348,f,255174363,255174363,255174348,y,y,y,,,
ind,s627,,,f,,,,n,y,n,,,
