"nest","end_state"
"s401","p"
"s403","p"
"s405",NA
"s407","ud"
"s408","p"
"s411","p?"
"s413","?hd"
"s501","p"
"s503","p"
"s504","attack fo predator?"
"s504","d"
"s505","hg"
"s505","fledged?"
"s505","d"
"s506","hs"
"s506","hd"
"s506","fl"
"s506","d"
"s507","p"
"s508","p"
"s511","p"
"s513",NA
"s513","d and p"
"s517","hg"
"s518","p"
"s521","1d, 3?hd"
"s522","p"
"s523","w"
"s525","?hd"
"s528","ud"
"s530","?hd"
"s531","1b, 1ho, 2"
"s532","m"
"s601","d"
"s603","hg"
"s604","p"
"s604","ud"
"s605","p"
"s607","p"
"s608","un"
"s608","d"
"s609","hg"
"s609","d"
"s610","p"
"s611","d"
"s614","p"
"s615","p"
"s616","p"
"s617","p"
"s617","p"
"s619","hg"
"s620","un"
"s621","p"
"s623","hg"
"s626","hg"
"s627","bpd"
"s627","d"
"s630","p"
"s630","p"
"s701","p"
"s703","hg"
"s705","p"
"s706","p"
"s707","p"
"s707","d"
"s708","p"
"s709","p"
"s710","3p,1d"
"s713","d"
"s714","w"
"s716","?hd"
"s717","w"
"s718","?d"
"s801","p"
"s802","p"
"s803","p"
"s809","b"
"s813","?hd"
"s814","1b,3w"
