"nest","mean_","med_"
"s402",0.517543303241867,0.475845690454124
"s404",0.49501002464052,0.494643580983265
"s406",0.490974331758601,0.476518617175285
"s409",0.529783266985733,0.546368647404446
"s502",0.486461159803663,0.499942116230609
"s509",0.504031856690031,0.498725967106787
"s510",0.467276781151655,0.453739644284804
"s512",0.50093061249302,0.491512658594519
"s515",0.503726012587359,0.487084443414804
"s516",0.501161889582797,0.498233010833671
"s519",0.526899001434296,0.532615026208503
"s520",0.492943252909466,0.496743049901128
"s526",0.552174015367871,0.580811594202899
"s527",0.537057887965714,0.53912037037037
"s622",0.49170210222867,0.459953703703704
"s625",0.467011493201826,0.467002431399792
"s628",0.450589838584598,0.445558905380334
"s629",0.480094545460054,0.486854296965485
"s702",0.451681479367513,0.426033105683528
"s704",0.50661690723176,0.511284722222222
"s711",0.470873499642999,0.480120551756115
"s712",0.481961448415358,0.486599131693198
"s805",0.53261922769031,0.548658204370254
"s806",0.490007716049383,0.520486111111111
"s808",0.498284943262283,0.505853036624942
