"author","datetime_","datetime_left","nest","bird_incubate","gps_left","wp_left","dist_left_nest","behav_left","activity","n_eggs","n_chicks","state","eggs_collected","captures_id","bird1_cb","dist_bird1_app","bird2_cb","dist_bird2_app","RFID","RFID_ID","MSR","MSR_ID","TT","TT_ID","treatment","recorder","recorder_ID","balance","balance_ID","ARS","ARS_ID","fake_egg","fake_egg_ID","cage","remarks","visits_pk"
"ar","2013-06-05 10:06:00","2013-06-05 10:12:00","s601","y",\N,\N,"10","wo,a","f,e","4","0","w","0",\N,"noba","5","noba",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"noba tries to copulate with bird1 while it is off nest, but not sure if it is the partner. bird back on nest within 1 min.","1"
"ar,mb","2013-06-06 13:45:00","2013-06-06 14:01:00","b501","y",\N,\N,"15","ro","f,e,l","4","0","w",\N,\N,"?-w,r,dg/?-gf,gr","7",\N,\N,"on","67","on","309043",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"first basa joooooooo!!!!!!!!","2"
"mb","2013-06-06 10:34:00","2013-06-06 10:51:00","d501","y",\N,\N,\N,\N,"f,e","4","0","w","0",\N,"noba","7",\N,\N,\N,\N,\N,\N,\N,\N,\N,"on","999",\N,\N,\N,\N,\N,\N,\N,\N,"3"
"mb","2013-06-06 11:08:00","2013-06-06 11:22:00","s501","y",\N,\N,"6","fo","f,e","4","0","w","0",\N,"noba",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"4"
"mb","2013-06-06 11:56:00","2013-06-06 12:02:00","d501","y","5","25",\N,"fo","l","4","0","w","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"download","999",\N,\N,\N,\N,\N,\N,\N,\N,"5"
"mb","2013-06-06 12:54:00","2013-06-06 12:55:00","d501","y","5","27",\N,"fo","l","4","0","w","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"off","999",\N,\N,\N,\N,\N,\N,\N,\N,"6"
"mb,lv","2013-06-07 08:21:00","2013-06-07 09:18:00","s601","y","5","31",\N,"fo","ca,l","4","0","w","0","35",\N,\N,\N,\N,"on","57","on","309051",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"exchange: partner flew in 10m from nest, walks into nest, incubating bird wo + fo, within 10s partner sits, no vocalization","7"
"mb,ms","2013-06-06 20:20:00","2013-06-06 20:23:00","s601","y","5","31",\N,"fo","c",\N,\N,\N,\N,\N,"noba",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"8"
"mb,lv","2013-06-08 12:06:00","2013-06-08 12:09:00","d501","y","4","28",\N,"fo","l","4","0","w","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"on","999",\N,\N,\N,\N,\N,\N,\N,\N,"9"
"mb,lv","2013-06-08 12:20:00","2013-06-08 13:04:00","d501","y","4","29",\N,"fo","ca,l","4","0","w","0","54","noba","15",\N,\N,"on","9","on","309052",\N,\N,\N,"off","999",\N,\N,\N,\N,\N,\N,\N,\N,"10"
"lv","2013-06-08 14:20:00","2013-06-08 14:22:00","d501","y","4","30",\N,"fo","c",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"winding the fishing line; to do bring martin's box with wires, liesbeth left it there or lost it from her pocket","11"
